province_id;R;G;B;province_type;x;y;Biome_R;Biome_G;Biome_B;Biome_ID;Biome_Name
prv-000001;121;131;193;land;4.85;7.71;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000002;214;66;27;land;37.03;7.12;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000003;207;21;45;land;53.36;4.18;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000004;185;241;225;land;79.06;8.29;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000005;171;206;5;land;90.5;6.51;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000006;113;137;132;land;108.1;5.43;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000007;241;160;175;land;143.77;5.36;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000008;184;83;60;land;162.66;7.39;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000009;107;222;246;land;181.66;8.08;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000010;198;244;67;land;199.21;3.55;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000011;34;32;204;land;223.57;5.13;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000012;156;64;249;land;247.71;6.12;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000013;229;221;209;land;267.84;8.07;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000014;38;212;167;land;277.38;5.7;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000015;238;177;180;land;306.59;6.47;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000016;137;145;210;land;331.01;7.83;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000017;189;216;27;land;348.38;4.62;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000018;228;102;54;land;374.2;5.23;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000019;150;107;91;land;397.3;4.83;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000020;228;71;66;land;412.69;8.23;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000021;77;199;98;land;443.4;7.77;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000022;197;93;168;land;457.58;3.82;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000023;9;177;108;land;484.28;5.98;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000024;97;84;192;land;498.78;5.6;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000025;129;41;218;land;518.81;3.87;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000026;220;125;141;land;542.42;7.88;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000027;0;178;54;land;559.15;5.71;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000028;170;218;56;land;584.65;6.61;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000029;239;12;153;land;599.7;6.31;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000030;27;60;193;land;636.75;8.94;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000031;140;231;126;land;657.67;4.2;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000032;224;41;219;land;679.41;8.02;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000033;225;113;97;land;695.13;5.51;171;183;177;polar_ice_caps;Polar Ice Caps
prv-000034;16;1;30;land;712.17;2.79;176;189;183;polar_ice_caps;Polar Ice Caps
